Economy_Code,Economy_Label,1995_US_at_current_prices_per_capita_Value,1996_US_at_current_prices_per_capita_Value,1997_US_at_current_prices_per_capita_Value,1998_US_at_current_prices_per_capita_Value,1999_US_at_current_prices_per_capita_Value,2000_US_at_current_prices_per_capita_Value,2001_US_at_current_prices_per_capita_Value,2002_US_at_current_prices_per_capita_Value,2003_US_at_current_prices_per_capita_Value,2004_US_at_current_prices_per_capita_Value,2005_US_at_current_prices_per_capita_Value,2006_US_at_current_prices_per_capita_Value,2007_US_at_current_prices_per_capita_Value,2008_US_at_current_prices_per_capita_Value,2009_US_at_current_prices_per_capita_Value,2010_US_at_current_prices_per_capita_Value,2011_US_at_current_prices_per_capita_Value,2012_US_at_current_prices_per_capita_Value,2013_US_at_current_prices_per_capita_Value,2014_US_at_current_prices_per_capita_Value,2015_US_at_current_prices_per_capita_Value,2016_US_at_current_prices_per_capita_Value,2017_US_at_current_prices_per_capita_Value,2018_US_at_current_prices_per_capita_Value,2019_US_at_current_prices_per_capita_Value,2020_US_at_current_prices_per_capita_Value,2021_US_at_current_prices_per_capita_Value,2022_US_at_current_prices_per_capita_Value,2023_US_at_current_prices_per_capita_Value
4,Afghanistan,190,176,163,152,137,175,178,200,215,234,265,287,386,389,434,535,611,648,629,595,553,525,533,513,512,511,379,349,336
8,Albania,734,986,689,796,1010,1102,1247,1390,1784,2316,2618,2916,3532,4304,4067,4072,4428,4234,4394,4556,3928,4093,4492,5237,5339,5280,6292,6690,8184
12,Algeria,1474,1613,1625,1600,1593,1769,1757,1790,2109,2615,3117,3481,3948,4911,3866,4455,5420,5553,5460,5454,4147,3918,4080,4115,3967,3309,3652,4220,4454
20,Andorra,23337,24206,23090,23455,23875,21756,23491,26404,33987,38951,40814,43429,48272,48934,43799,42705,46596,41503,42458,44311,38639,40103,40673,42820,41258,37361,42426,42356,46010
24,Angola,485,616,698,568,525,754,713,882,993,1266,1916,2617,3141,4103,3137,3597,4616,5086,5225,5365,4127,3465,4039,3238,2568,1639,2024,3180,2392
660,Anguilla,10679,10979,11963,13157,13587,13442,13505,13488,14376,16664,18668,22703,27975,27607,21686,20062,21416,20937,21265,22675,23261,22364,19484,21904,25415,17412,20793,31939,35374
28,Antigua and Barbuda,8466,9104,9579,10052,10401,10463,10172,10418,10785,11412,12749,14255,15940,16524,14593,13463,13177,13751,13416,14079,14950,15968,16226,17649,18338,15440,16898,19068,21607
32,Argentina,7976,8307,8833,8911,8355,8280,7743,2908,3655,4275,5116,5916,7241,9045,8233,10329,12704,13790,14403,13180,14833,12700,14533,11753,9956,8536,10768,13899,14247
51,Armenia,415,519,538,629,621,652,732,829,985,1262,1738,2277,3300,4202,3131,3369,3700,3634,3805,3973,3613,3613,3955,4281,4690,4373,4835,6774,8159
533,Aruba,18229,18424,19792,20831,20878,21107,21001,21469,22144,24190,25045,25891,27723,29068,25789,24508,26122,25699,26598,26998,28439,28422,29248,30782,31714,23826,28851,32888,35627
36,Australia,21669,23798,23633,20887,22610,21436,20203,22267,28275,33951,37614,39827,47106,49512,46702,58773,68868,69659,66463,62069,52042,53756,57163,58002,54140,55841,67524,67806,67569
40,Austria,30320,29804,26699,27355,27168,24560,24537,26404,32217,36816,38396,40627,46845,51700,47950,46849,51365,48558,50707,51709,44171,45270,47423,51460,50062,48765,53451,51883,56864
31,Azerbaijan,399,406,499,554,566,645,692,749,866,1022,1541,2409,3744,5463,4896,5784,7125,7432,7803,7812,5442,3837,4100,4693,4765,4193,5357,7646,7393
44,Bahamas,17132,19142,20368,21667,24041,24940,25372,26782,26429,26650,28602,29185,30052,29392,27513,27473,27091,28552,27888,29065,30390,30739,31988,33159,34405,24641,29083,32443,34579
48,Bahrain,11441,11599,11723,10945,11583,13535,12824,12754,13651,15090,17123,18605,20550,22942,19380,21194,23847,25281,25883,25432,22670,22548,23936,25241,26018,23345,26171,28943,28578
50,Bangladesh,309,319,324,329,339,338,332,340,367,392,398,478,549,636,715,809,880,926,1113,1266,1435,1641,1782,1933,2119,2246,2474,2554,2438
52,Barbados,8766,9338,9866,11123,11652,12028,11993,12117,12443,13277,14646,15620,17229,17547,16290,16462,16863,16660,16875,16913,16968,17322,17819,18205,18993,16822,17449,20190,22179
112,Belarus,1405,1475,1440,1561,1250,1078,1285,1528,1880,2458,3231,3977,4895,6591,5351,6030,6520,6941,7980,8320,5951,5024,5763,6332,6826,6563,7531,7944,7856
56,Belgium,28413,27488,24820,25337,25243,23040,22994,24888,30586,35365,36794,38669,44261,48110,44513,43976,47347,44671,46741,47696,40988,41979,44193,47539,46635,45603,51919,50047,54222
84,Belize,4000,4033,4005,4115,4277,4712,4703,4844,4941,5132,5248,5503,5739,5690,5379,5430,5557,5680,5918,6091,6159,6144,6074,6030,6186,5240,6133,7028,7530
204,Benin,377,432,435,494,525,486,492,544,674,757,779,808,911,1056,1020,972,1058,1072,1169,1203,1002,1011,1055,1152,1131,1200,1319,1264,1366
60,Bermuda,42952,45375,48735,51625,54396,56543,59490,63359,67107,71692,77628,85433,96573,103922,102640,104133,99069,100234,101704,100981,104873,108770,112003,113227,115798,106973,112712,116542,122951
64,Bhutan,528,557,638,633,690,736,780,860,975,1080,1204,1304,1722,1789,1778,2206,2505,2483,2421,2601,2756,2997,3435,3400,3577,3192,3570,3712,3820
68,Bolivia (Plurinational State of),853,922,970,1022,979,976,930,888,893,953,1020,1203,1355,1693,1731,1930,2316,2576,2870,3041,2996,3036,3306,3501,3504,3100,3385,3644,3720
70,Bosnia and Herzegovina,535,713,944,1037,1138,1338,1388,1607,2034,2453,2740,3166,3931,4842,4540,4506,4983,4694,5035,5206,4662,4929,5345,6048,6122,6130,7295,7637,8529
72,Botswana,3156,3156,3194,2981,3340,3451,3206,3104,4193,4892,5304,5286,5529,5503,5083,6216,7287,6614,6667,7122,6141,6749,7105,7408,7159,6311,7802,8341,8227
76,Brazil,4833,5199,5314,5071,3478,3767,3176,2856,3091,3664,4828,5934,7410,8908,8679,11403,13397,12522,12459,12275,8936,8836,10081,9301,9069,7074,7872,9130,10144
92,British Virgin Islands,25413,28039,31783,35676,38954,42371,44480,41885,36735,37233,41983,44742,47134,45413,39415,40381,37402,36805,35705,36479,37154,41495,40053,40018,41589,38474,38618,38394,40561
96,Brunei Darussalam,18013,19003,18858,14365,15956,20371,18618,19038,20961,24717,29426,34854,36591,42215,30893,34938,46383,46969,44003,41027,30625,26663,28024,30988,30427,26834,31007,36633,32727
100,Bulgaria,2272,1483,1377,1847,1690,1656,1789,2086,2709,3375,3882,4500,5856,7230,6948,6815,7816,7421,7684,7902,7073,7566,8362,9443,9875,10125,12220,13216,15126
854,Burkina Faso,260,276,254,284,293,248,259,284,362,403,441,455,514,617,599,624,724,732,760,764,630,664,709,777,772,842,909,852,900
108,Burundi,165,143,160,144,128,110,100,92,85,93,147,162,166,190,198,217,230,231,235,251,254,261,287,280,275,274,289,303,321
132,Cabo Verde,1334,1349,1296,1359,1520,1353,1408,1550,2029,2304,2424,2765,3327,3912,3690,3580,4000,3758,3962,3982,3414,3609,3893,4295,4409,3649,4049,4454,4970
116,Cambodia,330,325,298,260,286,294,315,334,357,403,468,533,624,737,729,775,871,940,1004,1085,1155,1263,1380,1510,1644,1547,1588,1715,1837
120,Cameroon,832,827,783,799,796,707,715,786,986,1131,1142,1190,1324,1486,1456,1397,1512,1449,1575,1647,1414,1442,1496,1611,1555,1556,1684,1605,1717
124,Canada,20569,21185,21790,20904,22170,24109,23676,24120,28130,31951,36164,40274,44386,46427,40638,47293,51883,52364,52339,50612,43271,42039,44814,46263,46149,43163,52049,55071,53972
136,Cayman Islands,52190,54304,56812,71757,75030,75670,74954,75552,75818,77368,85701,87652,89890,89656,81373,76837,75281,75102,75114,75845,76379,77802,80054,83866,88254,82220,85987,87736,91419
140,Central African Republic,349,307,278,279,280,250,249,259,291,317,329,351,393,446,455,476,533,544,364,409,366,387,432,455,449,462,492,470,504
148,Chad,232,248,229,252,211,185,221,248,326,506,647,711,790,962,861,989,1151,1227,1192,1233,983,865,854,951,917,868,920,910,913
152,Chile,5169,5359,5779,5468,4966,5055,4556,4420,4748,6132,7521,9376,10413,10668,10135,12719,14537,15247,15739,14585,13515,13710,14927,15635,14507,13118,16278,15378,16938
156,China,602,702,775,823,868,954,1047,1143,1283,1502,1745,2088,2678,3444,3800,4504,5552,6230,6940,7548,7923,8001,8716,9792,10031,10299,12493,12604,12491
344,"China, Hong Kong SAR",23417,25342,27639,25897,25054,25604,25007,24386,23529,24549,26282,27923,30352,31233,30299,32195,34791,36471,37952,39820,42000,43313,45840,48417,48502,46052,49289,48198,50763
446,"China, Macao SAR",17673,17632,17509,16078,15218,15491,15412,16165,17581,22072,24545,29237,35307,39235,39287,50180,64009,73521,86075,89960,72404,71055,77927,83778,82093,37103,44599,34134,42527
158,"China, Taiwan Province of",12959,13473,13858,12697,13684,14807,13333,13623,14004,15252,16388,16865,17686,18015,16872,19130,20795,21229,21905,22806,22717,23025,24996,25749,25825,28448,32929,32528,32445
170,Colombia,3060,3156,3404,3088,2659,2539,2457,2414,2297,2800,3457,3786,4769,5535,5249,6400,7401,8114,8280,8184,6248,5962,6480,6817,6474,5334,6223,6648,6910
174,Comoros,985,962,870,869,882,787,833,914,1154,1312,1328,1383,1288,1449,1405,1385,1529,1490,1603,1614,1329,1365,1424,1541,1519,1526,1584,1494,1579
178,Congo,894,1005,889,759,871,1150,928,994,1119,1429,1798,2102,2204,2821,2262,2944,3392,3733,3696,3596,2438,2093,2212,2694,2488,1994,2501,2543,2543
184,Cook Islands,6500,6527,6080,5471,6070,6307,6893,8107,11093,12916,13164,13480,14628,14108,13085,14184,15581,16952,16427,18221,17320,17878,20274,21855,22121,18116,16268,19680,21774
188,Costa Rica,3273,3227,3408,3617,3691,3813,3985,4068,4173,4431,4704,5256,6138,6937,6833,8266,9276,10127,10803,10911,11715,12091,12317,12590,12885,12394,12770,13456,16692
384,Cote d'Ivoire,748,786,730,759,730,604,616,662,800,845,851,866,967,1126,1104,1168,1244,1342,1621,1886,1813,1863,1964,2131,2125,2178,2423,2304,2481
191,Croatia,4902,5262,5334,5788,5388,5041,5408,6290,8132,9748,10625,11814,14085,16485,14725,14136,14844,13498,13945,13876,12036,12697,13838,15521,15671,14569,17631,18314,21326
192,Cuba,2785,2282,2306,2332,2562,2751,2843,3005,3203,3399,3786,4676,5192,5385,5496,5694,6151,6471,6828,7147,7734,8111,8611,8911,9232,9605,11391,13309,19529
531,Curacao,,,,,,,,,,,,,,,,,18479,18726,18598,18539,18359,18028,18001,16777,15965,13698,14783,16592,18520
196,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czechia,5833,6545,6049,6508,6357,6039,6627,8027,9766,11676,13341,15165,18397,22818,19905,19980,21872,19877,20139,19906,17866,18636,20740,23604,23927,23315,26759,27220,30667
200,Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Dem. People's Rep. of Korea,214,462,447,441,437,448,463,456,459,460,534,561,583,539,484,558,625,631,654,683,637,653,673,674,627,606,639,576,
180,Dem. Rep. of the Congo,201,202,205,208,179,165,160,162,161,181,204,238,268,307,281,315,365,400,431,458,468,480,432,524,509,472,533,611,621
208,Denmark,35352,35651,32836,33368,33441,30743,30751,33228,40459,46511,48799,52026,58485,64320,58163,58040,61751,58504,61187,62545,53253,54662,57608,61590,59591,60835,69268,67792,68801
262,Djibouti,805,766,731,712,725,731,738,742,766,804,844,898,970,1093,1200,1337,1533,1764,2074,2210,2397,2524,2623,2727,2908,3098,3301,3521,3636
212,Dominica,3952,4211,4372,4664,4817,4867,4982,4874,5010,5349,5299,5672,6120,6654,7102,7172,7256,7031,7148,7392,7680,8278,7602,8138,9009,7497,8263,9159,9833
214,Dominican Republic,1996,2126,2404,2512,2588,2791,2891,2898,2270,2442,3849,4061,4630,4978,4958,5413,5813,6023,6147,6512,6819,7173,7500,7935,8164,7162,8472,10110,10627
218,Ecuador,2107,2135,2340,2283,1575,1444,1895,2173,2425,2689,2998,3323,3560,4238,4217,4613,5173,5646,6018,6344,6104,6055,6223,6309,6235,5659,6004,6455,6512
818,Egypt,1002,1103,1192,1246,1285,1309,1215,1135,951,996,1165,1303,1568,1920,2148,2406,2537,2968,2840,3086,3190,2659,1882,2363,2951,3399,3838,3634,2890
222,El Salvador,1548,1651,1749,1860,1908,1983,2058,2115,2208,2286,2447,2666,2831,2983,2910,3040,3331,3498,3582,3666,3790,3901,4020,4184,4320,3999,4708,5173,5411
226,Equatorial Guinea,377,573,1060,854,1375,2148,2944,3404,4361,6246,8993,10185,12617,18211,13233,13707,17176,17310,16299,15528,9062,7453,7809,8102,6804,5884,6976,6525,5672
232,Eritrea,316,352,363,371,359,314,325,305,349,427,413,347,372,328,449,540,689,742,637,841,648,696,604,628,612,642,660,699,761
233,Estonia,3081,3334,3626,4018,4107,4074,4506,5341,7203,8913,10410,12645,16741,18184,14718,14672,17466,17405,19052,20236,17406,18282,20437,23166,23426,23593,27927,28183,29496
748,Eswatini,1960,1812,1914,1740,1679,1669,1468,1352,2060,2581,2945,3035,3181,3000,3240,3993,4312,4348,4069,3892,3552,3320,3800,3991,3810,3339,3931,3550,3487
231,Ethiopia,132,138,139,122,112,119,115,107,115,131,155,186,229,299,320,291,327,441,473,536,607,676,700,712,800,813,813,949,1208
230,Ethiopia (...1991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Federal Republic of Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,2467,2648,2574,2010,2328,1996,1945,2137,2656,3097,3378,3455,3763,3900,3164,3450,4134,4341,4573,5293,5097,5364,5827,6085,5951,4844,4696,5416,5920
246,Finland,26270,25783,24690,26009,26176,24285,24946,26871,32854,37705,39039,41186,48412,53556,47291,46460,51082,47711,49877,50259,42783,43783,46411,49986,48629,49169,53559,50727,54276
250,France,27512,27505,24807,25573,25262,22901,22977,24771,30299,34586,35636,37365,42559,46487,42627,41670,44896,41896,43659,44088,37559,37969,39751,42597,41517,40170,44782,41874,45699
258,French Polynesia,19902,18894,17780,18222,17754,15632,15129,15867,19562,21721,21975,22311,24855,26485,24336,22473,22802,20848,21949,22229,19159,19677,20827,21926,21583,20746,21983,20739,22166
266,Gabon,4914,5501,5038,4138,4153,4450,3957,4017,4744,5518,6545,6841,7993,9650,7261,8349,10206,9298,9195,9189,7042,6677,6922,7624,7441,6594,8506,8282,7872
270,Gambia,1033,1083,998,1014,956,894,764,626,513,593,616,615,725,859,775,801,711,693,654,568,620,642,643,696,738,720,795,846,881
268,Georgia,577,670,787,831,661,743,805,865,1028,1329,1675,2039,2697,3415,2890,3143,3905,4295,4513,4647,3944,3993,4282,4638,4603,4175,4916,6484,7845
276,Germany,31524,30358,26848,27301,26863,23756,23728,25207,30398,34221,34684,36621,42080,45989,41979,42018,46309,43592,46060,47728,40891,41898,44412,47673,46544,46488,51119,48485,52767
288,Ghana,788,826,801,849,855,538,559,631,760,862,1014,1173,1386,1557,1383,1672,2007,2076,2326,1951,1744,1913,2013,2196,2187,2197,2446,2225,2297
300,Greece,13013,13799,13476,13529,13903,12216,12560,14126,18493,21972,22563,24809,28833,32001,29706,26683,25441,21908,21777,21586,18077,17913,18584,19761,19149,17616,20291,20868,23670
304,Greenland,23658,23368,20885,22378,22029,20763,21041,22575,27462,32026,32481,35390,39622,44106,44761,44215,47233,45963,47510,50595,44610,48289,50857,54496,53443,54973,57740,52261,55930
308,Grenada,2679,2853,3051,3329,3560,4840,4820,4984,5428,5480,6337,6344,6865,7448,6933,6910,6947,7093,7425,7986,8694,9221,9751,10083,10463,8969,9622,10203,11086
320,Guatemala,1247,1308,1437,1528,1407,1447,1538,1670,1722,1842,2046,2226,2459,2764,2612,2806,3170,3286,3444,3689,3894,4060,4325,4353,4512,4477,4890,5323,5625
324,Guinea,696,708,678,607,575,507,477,470,537,555,439,447,650,704,662,659,637,699,748,765,747,713,834,933,1031,1054,1152,1483,1660
624,Guinea-Bissau,714,469,354,316,335,294,301,317,361,394,425,418,480,581,542,542,683,599,617,605,586,644,719,743,694,694,769,748,835
328,Guyana,1307,1479,1567,1499,1449,1486,1612,1785,1984,2284,2600,3136,3608,4009,4209,4582,4947,5444,5557,5473,5640,5871,6179,6048,6406,6776,9861,17913,21839
332,Haiti,500,565,631,749,835,766,737,669,557,708,770,825,1008,1061,1171,1225,1305,1349,1452,1441,1350,1255,1411,1435,1267,1472,1674,1630,1875
340,Honduras,823,825,927,1007,1011,1093,1132,1133,1157,1215,1305,1426,1578,1732,1781,1893,2074,2126,2081,2180,2271,2307,2413,2465,2523,2355,2769,3031,3254
348,Hungary,4499,4529,4601,4751,4802,4634,5287,6668,8437,10324,11247,11514,13971,15806,13105,13245,14270,12990,13720,14300,12722,13109,14625,16427,16788,16127,18757,18312,21864
352,Iceland,26629,27610,27913,31023,32374,32088,28889,32400,39465,47320,56776,57476,69477,56925,41287,43221,47696,45978,49786,54556,52930,61963,71983,74424,68426,58824,68687,73785,78562
356,India,387,402,426,422,445,450,455,467,537,619,713,801,995,1049,1073,1343,1484,1455,1479,1557,1617,1704,1930,2010,2055,1908,2245,2431,2491
360,Indonesia,,,,,,,,,1111,1200,1318,1659,1941,2262,2362,3066,3579,3632,3567,3441,3288,3521,3799,3861,4107,3854,4287,4731,4874
960,Indonesia (...2002),1178,1303,1217,530,767,812,779,936,,,,,,,,,,,,,,,,,,,,,
364,Iran (Islamic Republic of),1838,1997,1837,1753,1804,1680,1802,2206,2256,2705,3187,3707,4844,5700,5747,6766,8287,8170,7182,5796,5050,5561,5924,3682,3590,3730,4051,4446,4633
368,Iraq,234,397,420,520,878,968,982,938,864,1329,1759,2265,3129,4268,4280,4462,5776,6478,6650,6249,4440,4331,4759,5647,5672,4296,4822,5995,5621
372,Ireland,19149,20830,22563,24305,26341,26287,28282,32581,41148,47718,50969,54342,61391,61154,51943,48628,52157,48940,51473,55673,62147,62766,70109,79362,80862,86021,102098,104191,106280
376,Israel,19666,20887,21119,20787,20378,22292,21505,19577,20193,21149,21864,23191,26437,31140,29482,32564,35792,34559,38408,39773,37592,39094,42721,44083,46163,46786,54759,57673,54766
380,Italy,20464,22961,21716,22198,21872,19972,20364,22131,27262,30997,31741,33152,37392,40277,36577,35470,37967,34479,35304,35592,30308,31016,32485,34705,33449,31670,36085,34334,37499
388,Jamaica,2631,2929,3297,3419,3432,3453,3504,3681,3550,3808,4184,4417,4716,5030,4428,4810,5233,5341,5132,4975,5066,5010,5259,5578,5607,4879,5165,6022,6680
392,Japan,44127,39082,35579,32386,36561,39112,34376,32811,35400,38283,37771,35951,35755,39847,41262,44928,48660,49030,40809,38412,34924,39349,38806,39719,40395,39973,39828,33858,33674
400,Jordan,1461,1454,1481,1580,1593,1620,1683,1760,1831,2001,2153,2416,2584,3242,3436,3718,3947,4170,4311,4191,4043,3987,4066,4145,4170,4011,4077,4216,4323
398,Kazakhstan,1229,1281,1382,1415,1092,1180,1422,1574,1958,2722,3577,5030,6449,8124,6938,8793,11287,12019,13478,12428,10196,7476,8943,9472,9457,8782,9984,11255,12797
404,Kenya,553,550,583,610,541,517,516,507,557,583,658,767,920,1003,1048,1092,1096,1294,1371,1483,1489,1554,1667,1836,1960,1928,2061,2091,1921
296,Kiribati,856,997,952,881,889,843,718,799,1000,1065,1144,1104,1303,1353,1244,1429,1633,1689,1621,1542,1458,1507,1565,1607,1416,1409,1772,1714,1695
412,Kosovo,,,,,,,,,,,,,,2877,2795,2985,3534,3412,3705,3906,3538,3791,4061,4457,4501,4416,5405,5470,6244
